"小悪魔A","Imp A"
"<ロリダークエルフ>
『さっさと負けて、出せ。
　恥ずかしい顔晒しながら、イけ。れろ♡』",""
"ロリダークエルフはトドメをさすように、
自分の舌を貴方の乳首にぐっと押し込み、ぴんっと強く弾く。",""
"\n[1]のレベルが1さがった。",""
"強くはじかれた乳首が合図となる様に、
びゅっと肉棒から精液が噴き出てしまった。",""
"<ロリダークエルフ>
『ん。レベル、でた。
　乳首、射精スイッチみたいだね。』",""
"<ロリダークエルフ>
『ここ、強く押されたらまだでちゃう？
　れろ♡れろ♡』",""
"ロリダークエルフは射精直後の肉棒を手で扱きながら、
貴方をイかせた動きと同じように舌で乳首を連続で弾く。",""
"彼女の舌が乳首を強くはじくたびに、
びくんっと大きく身体を跳ねて反応してしまう。",""
"<ロリダークエルフ>
『びくびくして、情けない。
　男のくせに、ここが射精スイッチなんだ？変態。れろ♡』",""
"<ロリダークエルフ>
『おちんちん、膨らんできた。
　乳首を舌で弾かれて、またすぐイっちゃう？れろ♡』",""
"ロリダークエルフは、ぴんっぴんっと強く舌で乳首をはじく。
同時に、震える肉棒のカリ首を重点的に手のひらで擦り、
貴方の精液を搾り取ろうとする。",""
"<ロリダークエルフ>
『我慢なんてできない。それは分かってるでしょ。
　私に乳首舐められて、無理やりイかされちゃう。れろ♡』",""
"<ロリダークエルフ>
『それが貴方の最期の記憶になる。
　乳首で射精スイッチ押されて、
　ビュービュー情けなくイかされる記憶。』",""
"<ロリダークエルフ>
『ほら、これでトドメ。イけ、変態。れろ♡』",""
"ロリダークエルフは、ひときわ強く舌を乳首に押し付け、
ぐりっとえぐる様にはじく。",""
"その強い快感に、
貴方はたまらず射精してしまう。",""
"<ロリダークエルフ>
『連続で射精スイッチ押してあげる。
　貴方のレベル、全部出して。れろ♡れろ♡』",""
"貴方が射精している最中も、
ロリダークエルフは容赦なく舌で乳首を押し込む。",""
"<ロリダークエルフ>
『もう何も考えられない。
　貴方はこのまま、乳首でイかされ続けて死ぬ。』",""
"<ロリダークエルフ>
『恥ずかしい顔晒しながら、乳首舐め舐めされて…死ぬ。
　ほら、またイけ。逝け。変態。れろ♡』",""
"貴方は自分の乳首が彼女に舐められる光景を最期に、
意識が薄れていった。",""
"”1層にてロリダークエルフと戦う”","Fight Loli Dark Elf on the first floor."
"EV007",""
"優香（1戦目）と戦いますか？
【優香の前に小悪魔Bとの簡易戦闘があります】","Fight Yuuka (1)?
【Simplified Imp B fight is also included.】"
"<優香>
『はい、私の勝ちー♡
　ま、勝負じゃなくてただの憂さ晴らしだし♡』",""
"<優香>
『これで、アンタも自分が喧嘩を売っちゃいけない相手に、
　偉そうにしてたって分かった？』",""
"優香はにやにやと貴方を見下ろしながらそう勝ち誇る。
確かに、自分とは実力が違いすぎる……",""
"<優香>
『あはは♡たっぷり実感できたみたいね？
　じゃ、さっさと終わらせよっか♡』",""
"優香は貴方に顔を近づけ、再び唇を妖しく光らせ始める。",""
"<優香>
『何をって、決まってるでしょ？レベルドレイン♡
　ま、どうせアンタみたいな弱いやつじゃ、
　大した経験値にはならないと思うけど♡』",""
"<優香>
『もらえるもんはもらっとかないとね。
　例え、アンタのゴミみたいな経験値でもさ♡』",""
"とことん貴方を煽るような言葉を言いながら、
彼女は唇を妖しくピンクに光らせ、妖艶に舌なめずりをする。",""
"流石に、彼女の言葉に貴方の目つきは自然と鋭いものとなり、
彼女の顔を睨みつける。",""
"<優香>
『そんな怖い顔しても無駄♪
　アンタの経験値がしょっぱいなんて事実だし♡』",""
"<優香>
『だって、ほら？
　ん～…………ちゅぅぅ♡』",""
"優香は唇を貴方の唇に押し付け、強く吸い付く。
甘い魔力の込められた唇に、貴方の思考はとろけていく。",""
"<優香>
『ちゅぅぅ♡
　ちゅっ♡ちゅっ♡』",""
"そんな貴方の反応に優香は目を細めながら、
さらに魔力を塗り込むように何度も唇を押し付ける。",""
"<優香>
『ちゅっ♡こんな簡単に、
　キスだけで黙らせられる相手からの経験値なんて、
　たかが知れてるに決まってるじゃん♡』",""
"優香は唇を放すと、勝ち誇るように貴方の目の前で笑う。
そんな屈辱的な言葉を投げかけられても、
貴方は焦点に会わない目で見つめることしかできない。",""
"<優香>
『ま、安心してよ。
　ゴミみたいな経験値でも、
　私がちゃんと使ってあげるからさ♡』",""
"<優香>
『ほら、ほら♡
　キスだけで吸い出してあげる♡ちゅっ♡』",""
"<優香>
『くそザコのアンタが我慢しても意味ないんだから、
　さっさと経験値よこしなさいよね♡ちゅぅぅ♡』",""
"彼女は甘い魔力の乗った唇で、
貴方の唇を制圧する様に激しく吸い付き、とろけさせる。",""
"それでも、大切な自分の経験値を、
ゴミ呼ばわりする彼女にだけはささげたくない。",""
"そんなぼんやりとした思いを奮い立たせて、
何とかPvPのペナルティが終わるまで堪えようとする。",""
"<優香>
『ちゅっ♡
　必死に手のひら握りしめて、
　もしかして耐えようとか思ってるわけ？』",""
"<優香>
『さっき私の唇になすすべもなく負けたくせに、
　まだアンタじゃ私には勝てないって理解できないの？
　ほんと、救いようのない馬鹿ね♡』",""
"<優香>
『自分のプライド守るのがそんなに大事なんでちゅかぁ？
　それなら、まず弱い自分を何とかしなさいよ♡ちゅぅぅ♡』",""
"優香は貴方の抵抗を溶かすように、
甘い魔力の乗った唇で貴方の舌先を吸い、
れろれろと自身の舌先を絡ませる。",""
"<優香>
『アンタがこんな目に合ってるのも、
　キスだけで負けちゃうくそザコおちんぽだから♡』",""
"<優香>
『悔しくていやだと思うなら、
　アンタもなりふり構わずレベルを上げることね♡』",""
"<優香>
『ま、それでも私には勝てないだろうけど♡
　ちゅぅぅ♡ちゅっ♡』",""
"優香は小ばかにしたような声でそう助言をしながら、
貴方の弱さを教えるようにキスだけで追い詰めていく。",""
"プルンとしたピンク色の唇に啄まれるたび、
貴方の脳は快楽に焦がされていき、全身から力が抜けていく。",""
"<優香>
『ほら、もうおちんぽからお汁が出てきた♡
　大事なレベル、キスだけでもう吸い出されちゃう♡』",""
"<優香>
『偉そうに説教した相手に、
　反対に説教されながら負けを認めさせられちゃう♡』",""
"<優香>
『あはは♡
　ほんと、弱いやつってかわいそうよね♡ちゅぅぅ♡』",""
"自身の方が圧倒的に強いと、
優香はそう勝ち誇る様に激しいキスで貴方の舌を絡めとり、
口内を自分の舌で舐めまわす。",""
"優香が柔らかく唇を落とすたびに、
貴方はびくびくと体を震わせてしまう。",""
"<優香>
『んっ♡もう気持ちよくて反論も、我慢もできない？
　なっさけない男♡もう私のキスにギブなんだ？』",""
"そんな貴方の限界に目ざとく気が付いた彼女は、
唇を放し、煽る様に至近距離から見つめる。",""
"<優香>
『ま、強さが違いすぎるししょうがないよね♡
　このまま、さっさと吸い出してあげる♡』",""
"<優香>
『ほら、出せ♡出せ♡
　くそザコおちんぽからゴミ経験値、だせ♡
　ちゅぅぅ♡』",""
"貴方は彼女のキスに吸い出されるように、
肉棒からレベルの詰まった精液を放出してしまう。",""
"<優香>
『うわ、ほんとにゴミみたい♡
　私の経験値ポイントほとんど動いてないんだけど』",""
"貴方の経験値を吸い取った優香は自分の経験値を確認して、
嘲りの視線で貴方を見つめる。",""
"その言葉に、こんな女相手に経験値を搾り取られた、
という屈辱に貴方は支配される。",""
"<優香>
『ま、ちりも積もれば、ってね♡
　質がダメなら、量で補うだけ♡』",""
"<優香>
『ほら、まだペナルティタイムは終わってないでしょ？
　もう1回くらい経験値吸い出してあげる♡ちゅぅぅ♡』",""
"優香は再び唇を妖しくピンク色に光らせると、
そのままちゅぅっと貴方の唇に押しつけ、吸い付く。",""
"唇が押し付けられた瞬間、後悔と屈辱は快楽に塗り替えられ、
貴方は再び肉棒を跳ねさせてしまう。",""
"<優香>
『ちゅっ♡
　ほんと、弱いおちんぽ♡こんなキスだけで、
　感じちゃダメだって分かってても耐えられないんだから♡』",""
